MATERIAL;;Etiquetas de fila;NOMBRE PRODUCTO;  PRECIO  ; TOTAL BOLSAS/CAJAS;TOTAL STAND BODEGA;TOTAL EXHIBICIÓN;TOTAL CARRITO;FALTA FACTU FEEAN;VENTA INTERNA FALTA SALIDA;VITRINAS EXTERIOR;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA;VALOR INVENTARIO;DESCONTAR;INGRESAR;Observación
116000000000000440;0440;HOODIE;HOODIE CERRADO AMARILLO XS; 134.000 ;7;3;4;;;;;14;14;0;$ 1.876.000;;;OK
116000000000000441;0441;HOODIE;HOODIE CERRADO AMARILLO S; 134.000 ;7;4;1;;;;;12;12;0;$ 1.608.000;;;OK
116000000000000442;0442;HOODIE;HOODIE CERRADO AMARILLO M; 134.000 ;3;3;2;;;;;8;8;0;$ 1.072.000;;;OK
116000000000000443;0443;HOODIE;HOODIE CERRADO AMARILLO L; 134.000 ;4;3;2;;;;;9;9;0;$ 1.206.000;;;OK
116000000000000444;0444;HOODIE;HOODIE CERRADO AMARILLO XL; 134.000 ;4;5;2;;;;;11;11;0;$ 1.474.000;;;OK
116000000000000445;0445;HOODIE;HOODIE CERRADO AMARILLO XXL; 134.000 ;8;3;1;;;;;12;12;0;$ 1.608.000;;;OK
116000000000000087;0087;HOODIE;HOODIE CERRADO BLANCO XS; 134.000 ;11;1;2;0;0;0;0;14;14;0;$ 1.876.000;;;OK
116000000000000085;0085;HOODIE;HOODIE CERRADO BLANCO S; 134.000 ;6;2;2;1;;;;11;11;0;$ 1.474.000;;;OK
116000000000000084;0084;HOODIE;HOODIE CERRADO BLANCO M; 134.000 ;4;2;;1;;;;7;7;0;$ 938.000;;;OK
116000000000000083;0083;HOODIE;HOODIE CERRADO BLANCO L; 134.000 ;3;2;1;2;;;;8;8;0;$ 1.072.000;;;OK
116000000000000086;0086;HOODIE;HOODIE CERRADO BLANCO XL; 134.000 ;11;2;1;1;;;;15;15;0;$ 2.010.000;;;OK
116000000000000360;0360;HOODIE;HOODIE CERRADO BLANCO XXL; 134.000 ;17;8;;;;;;25;25;0;$ 3.350.000;;;OK
116000000000000446;0446;HOODIE;HOODIE CERRADO MORADO XS; 134.000 ;7;3;3;;;;;13;13;0;$ 1.742.000;;;OK
116000000000000447;0447;HOODIE;HOODIE CERRADO MORADO S; 134.000 ;6;5;;1;;;;12;12;0;$ 1.608.000;;;OK
116000000000000448;0448;HOODIE;HOODIE CERRADO MORADO M; 134.000 ;9;2;;1;;;;12;12;0;$ 1.608.000;;;OK
116000000000000449;0449;HOODIE;HOODIE CERRADO MORADO L; 134.000 ;4;3;1;;;;;8;8;0;$ 1.072.000;;;OK
116000000000000450;0450;HOODIE;HOODIE CERRADO MORADO XL; 134.000 ;7;5;;1;;;;13;13;0;$ 1.742.000;;;OK
116000000000000451;0451;HOODIE;HOODIE CERRADO MORADO XXL; 134.000 ;8;2;2;;;;;12;12;0;$ 1.608.000;;;OK
116000000000000092;0092;HOODIE;HOODIE CERRADO NEGRO XS; 134.000 ;10;4;2;;;;;16;16;0;$ 2.144.000;;;OK
116000000000000090;0090;HOODIE;HOODIE CERRADO NEGRO S; 134.000 ;9;4;1;1;;;;15;15;0;$ 2.010.000;;;OK
116000000000000089;0089;HOODIE;HOODIE CERRADO NEGRO M; 134.000 ;3;3;;1;;;;7;7;0;$ 938.000;;;OK
116000000000000088;0088;HOODIE;HOODIE CERRADO NEGRO L; 134.000 ;8;3;1;1;;;;13;13;0;$ 1.742.000;;;OK
116000000000000091;0091;HOODIE;HOODIE CERRADO NEGRO XL; 134.000 ;10;3;1;1;;;;15;15;0;$ 2.010.000;;;OK
116000000000000361;0361;HOODIE;HOODIE CERRADO NEGRO XXL; 134.000 ;8;10;;;;;;18;18;0;$ 2.412.000;;;OK
116000000000000362;0362;HOODIE;HOODIE CERRADO TURQUESA XS; 134.000 ;12;2;2;;;;0;16;16;0;$ 2.144.000;;;OK
116000000000000363;0363;HOODIE;HOODIE CERRADO TURQUESA S; 134.000 ;14;2;1;1;;;;18;18;0;$ 2.412.000;;;OK
116000000000000364;0364;HOODIE;HOODIE CERRADO TURQUESA M; 134.000 ;7;2;1;1;;;;11;11;0;$ 1.474.000;;;OK
116000000000000365;0365;HOODIE;HOODIE CERRADO TURQUESA L; 134.000 ;12;2;;;;;;14;14;0;$ 1.876.000;;;OK
116000000000000366;0366;HOODIE;HOODIE CERRADO TURQUESA XL; 134.000 ;11;2;1;1;;;;15;15;0;$ 2.010.000;;;OK
116000000000000367;0367;HOODIE;HOODIE CERRADO TURQUESA XXL; 134.000 ;16;3;;;;;;19;19;0;$ 2.546.000;;;OK
116000000000000017;0017;HOODIE ;BUZO CERRADO VERDE HOMBRE XS; 126.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000015;0015;HOODIE ;BUZO CERRADO VERDE HOMBRE S; 126.000 ;;4;;;;;;4;4;0;$ 504.000;;;OK
116000000000000014;0014;HOODIE ;BUZO CERRADO VERDE HOMBRE M; 126.000 ;;1;;;;;;1;1;0;$ 126.000;;;OK
