MATERIAL;NOMBRE PRODUCTO;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA
116000000000000087;HOODIE CERRADO BLANCO XS;14;14;0
116000000000000085;HOODIE CERRADO BLANCO S;11;11;0
116000000000000084;HOODIE CERRADO BLANCO M;7;7;0
116000000000000083;HOODIE CERRADO BLANCO L;8;8;0
116000000000000086;HOODIE CERRADO BLANCO XL;15;15;0
116000000000000360;HOODIE CERRADO BLANCO XXL;25;25;0
116000000000000446;HOODIE CERRADO MORADO XS;13;13;0
116000000000000447;HOODIE CERRADO MORADO S;12;12;0
116000000000000448;HOODIE CERRADO MORADO M;12;12;0
116000000000000449;HOODIE CERRADO MORADO L;8;8;0
116000000000000450;HOODIE CERRADO MORADO XL;13;13;0
116000000000000451;HOODIE CERRADO MORADO XXL;12;12;0
116000000000000092;HOODIE CERRADO NEGRO XS;16;16;0
116000000000000090;HOODIE CERRADO NEGRO S;15;15;0
116000000000000089;HOODIE CERRADO NEGRO M;7;7;0
116000000000000088;HOODIE CERRADO NEGRO L;13;13;0
116000000000000091;HOODIE CERRADO NEGRO XL;15;15;0
116000000000000361;HOODIE CERRADO NEGRO XXL;18;18;0
116000000000000362;HOODIE CERRADO TURQUESA XS;16;16;0
116000000000000363;HOODIE CERRADO TURQUESA S;18;18;0
116000000000000364;HOODIE CERRADO TURQUESA M;11;11;0
